Id,Year,Ndomains,Complexity,Rating,D_Wargames,D_Family Games,D_Strategy Games,D_Thematic Games,D_Abstract Games,D_Childrens Games,D_Party Games,D_Customizable Games
239188,2018,1,2.11,7.8,0,0,0,1,0,0,0,0
14105,2006,1,2.69,7.78,1,0,0,0,0,0,0,0
39463,2008,2,2.57,7.54,0,0,1,1,0,0,0,0
146508,2015,1,2.61,7.55,0,0,0,1,0,0,0,0
199561,2017,2,1.93,7.53,0,1,0,0,1,0,0,0
82222,2014,2,3.17,7.86,0,0,1,1,0,0,0,0
123260,2012,1,2.78,7.52,0,0,1,0,0,0,0,0
188920,2017,1,3.25,7.83,0,0,0,1,0,0,0,0
287954,2019,2,2.05,7.83,0,1,0,0,1,0,0,0
126042,2013,1,3.54,7.64,0,0,1,0,0,0,0,0
223321,2018,1,2.72,7.89,0,0,0,1,0,0,0,0
195421,2017,1,2.82,7.81,0,0,0,1,0,0,0,0
31627,2007,1,1.98,7.64,0,1,0,0,0,0,0,0
104006,2011,1,3.07,7.53,0,0,1,0,0,0,0,0
21050,2006,1,3.25,7.94,1,0,0,0,0,0,0,0
463,1993,1,3.22,7.52,0,0,0,0,0,0,0,1
171131,2016,2,2.15,7.57,0,0,0,1,0,0,1,0
220877,2017,1,2.86,7.7,0,0,1,0,0,0,0,0
224037,2017,1,1.34,7.57,0,1,0,0,0,0,0,0
25021,2011,1,2.77,8.04,1,0,0,0,0,0,0,0
254640,2018,1,1.05,7.6,0,0,0,0,0,0,1,0
217372,2017,1,1.93,7.61,0,1,0,0,0,0,0,0
182631,2015,1,1.9,7.87,0,0,1,0,0,0,0,0
148228,2014,1,1.8,7.45,0,1,0,0,0,0,0,0
194655,2016,1,1.73,7.48,0,0,0,0,1,0,0,0
146886,2014,1,3.58,7.67,0,0,1,0,0,0,0,0
271324,2019,1,2.27,7.88,0,0,1,0,0,0,0,0
245638,2018,1,3.28,7.69,0,0,1,0,0,0,0,0
274364,2019,1,2.25,8.0,0,0,1,0,0,0,0,0
215,1991,1,2.34,7.58,0,0,1,0,0,0,0,0
188,-2200,1,4.0,7.64,0,0,0,0,1,0,0,0
9209,2004,1,1.85,7.42,0,1,0,0,0,0,0,0
316554,2020,2,2.88,8.45,0,0,1,1,0,0,0,0
129437,2012,1,2.44,7.57,0,0,0,1,0,0,0,0
12,1999,1,2.35,7.47,0,0,1,0,0,0,0,0
822,2000,1,1.91,7.42,0,1,0,0,0,0,0,0
176189,2015,1,2.51,7.68,0,0,0,1,0,0,0,0
109276,2014,1,4.35,7.84,0,0,1,0,0,0,0,0
155068,2014,1,2.53,7.71,0,0,0,1,0,0,0,0
9216,2004,1,3.38,7.58,0,0,1,0,0,0,0,0
282524,2019,2,2.05,7.84,0,1,0,1,0,0,0,0
555,2000,1,3.25,7.53,0,0,1,0,0,0,0,0
54998,2009,1,2.83,7.52,0,0,1,0,0,0,0,0
188834,2016,1,1.69,7.57,0,0,0,0,0,0,1,0
253344,2019,1,2.42,8.16,0,0,0,1,0,0,0,0
192291,2016,1,1.32,7.46,0,1,0,0,0,0,0,0
27833,2009,1,3.46,7.59,0,0,1,0,0,0,0,0
7854,2003,1,2.7,7.69,0,0,0,0,1,0,0,0
128621,2013,1,2.93,7.59,0,0,1,0,0,0,0,0
31481,2007,1,2.33,7.41,0,0,0,1,0,0,0,0
156129,2014,1,1.6,7.5,0,0,0,0,0,0,1,0
189932,2016,1,2.57,7.89,0,0,1,0,0,0,0,0
169426,2016,1,2.38,7.53,0,0,1,0,0,0,0,0
20551,2006,1,3.37,7.54,0,0,1,0,0,0,0,0
176494,2015,2,2.25,7.44,0,1,1,0,0,0,0,0
421,1986,1,4.16,7.88,0,0,1,0,0,0,0,0
199478,2016,1,1.67,7.56,0,1,0,0,0,0,0,0
232832,2017,2,1.65,7.71,0,1,1,0,0,0,0,0
198994,2016,2,1.9,7.6,0,0,1,0,0,0,0,1
19857,2005,1,2.93,7.49,0,0,1,0,0,0,0,0
140620,2013,1,3.34,7.49,0,0,1,0,0,0,0,0
27708,2007,1,3.21,7.61,0,0,1,0,0,0,0,0
155873,2014,1,3.19,8.01,0,0,1,0,0,0,0,0
158600,2013,1,1.71,7.54,0,1,0,0,0,0,0,0
127060,2013,1,3.74,7.56,0,0,1,0,0,0,0,0
24181,2006,1,3.57,7.61,0,0,1,0,0,0,0,0
97207,2011,2,3.6,7.47,0,0,1,1,0,0,0,0
3,1998,1,2.49,7.45,0,0,1,0,0,0,0,0
242302,2018,1,2.13,7.59,0,1,0,0,0,0,0,0
108745,2012,1,2.77,7.41,0,0,1,0,0,0,0,0
154203,2014,1,2.77,7.41,0,0,1,0,0,0,0,0
228341,2017,1,3.34,7.73,0,0,1,0,0,0,0,0
92828,2011,1,1.19,7.45,0,0,0,0,0,0,1,0
283948,2019,1,3.38,8.17,0,0,1,0,0,0,0,0
22545,2007,1,3.13,7.54,0,0,1,0,0,0,0,0
204583,2016,1,1.21,7.35,0,1,0,0,0,0,0,0
222509,2018,1,3.32,7.85,0,0,1,0,0,0,0,0
38453,2008,1,2.96,7.44,0,0,0,1,0,0,0,0
118,1992,1,2.3,7.4,0,0,1,0,0,0,0,0
181279,2015,1,3.22,7.51,0,0,0,1,0,0,0,0
265188,2019,1,3.05,8.02,0,0,1,0,0,0,0,0
193037,2016,1,3.42,7.65,0,0,0,1,0,0,0,0
760,2000,1,1.9,7.42,0,0,1,0,0,0,0,0
93260,2011,2,2.51,7.52,0,0,1,0,0,0,0,1
144344,2013,1,3.09,7.58,0,0,1,0,0,0,0,0
203420,2016,1,2.54,7.53,0,0,0,1,0,0,0,0
209418,2016,1,2.18,7.93,0,0,1,0,0,0,0,0
66589,2010,1,3.09,7.55,0,0,1,0,0,0,0,0
59294,2010,2,3.78,7.63,0,0,1,1,0,0,0,0
176734,2016,1,3.03,7.79,0,0,1,0,0,0,0,0
286096,2019,1,2.88,7.49,0,0,1,0,0,0,0,0
48726,2010,1,2.57,7.41,0,0,1,0,0,0,0,0
19777,2005,1,3.98,7.85,0,0,1,0,0,0,0,0
54138,2009,1,3.5,7.69,0,0,1,0,0,0,0,0
268864,2019,1,2.25,7.9,1,0,0,0,0,0,0,0
172081,2015,2,2.31,7.54,0,1,0,1,0,0,0,0
234,1996,1,3.45,7.8,1,0,0,0,0,0,0,0
256916,2018,1,3.08,8.36,0,0,1,0,0,0,0,0
146439,2013,1,2.7,7.74,1,0,0,0,0,0,0,0
224783,2018,1,3.07,7.88,0,0,1,0,0,0,0,0
13122,2004,1,4.31,7.88,0,0,1,0,0,0,0,0
312484,2020,2,2.76,8.25,0,1,1,0,0,0,0,0
232405,2018,1,2.78,7.66,0,0,0,1,0,0,0,0
139976,2015,2,3.14,7.92,0,0,1,1,0,0,0,0
2655,2000,1,2.33,7.32,0,0,0,0,1,0,0,0
160477,2014,1,1.71,7.4,0,0,0,0,1,0,0,0
206718,2017,1,2.03,7.48,0,0,1,0,0,0,0,0
101721,2012,1,3.67,7.64,0,0,0,0,0,0,0,1
209685,2017,1,1.77,7.37,0,1,0,0,0,0,0,0
241451,2019,2,2.84,8.22,0,0,1,1,0,0,0,0
172818,2015,1,2.53,7.43,0,0,0,1,0,0,0,0
187617,2017,1,3.15,7.99,0,0,0,1,0,0,0,0
40692,2009,2,2.36,7.26,0,1,1,0,0,0,0,0
140934,2015,1,2.16,7.39,0,1,0,0,0,0,0,0
181304,2015,2,1.91,7.3,0,1,0,1,0,0,0,0
45315,2009,1,3.56,7.39,0,0,1,0,0,0,0,0
249259,2018,1,2.29,7.95,0,0,0,0,1,0,0,0
269207,2019,1,2.66,7.63,0,0,1,0,0,0,0,0
165722,2014,2,1.05,7.65,0,1,0,0,0,0,1,0
46213,2009,1,1.08,7.4,0,0,0,0,0,0,1,0
136888,2013,1,2.75,7.43,0,0,1,0,0,0,0,0
77130,2010,1,3.89,7.41,0,0,1,0,0,0,0,0
271896,2019,1,2.47,7.74,0,0,0,1,0,0,0,0
59959,2011,2,2.66,7.4,0,0,1,1,0,0,0,0
54,1999,1,2.8,7.34,0,0,1,0,0,0,0,0
227789,2017,1,3.24,7.58,0,0,1,0,0,0,0,0
163967,2015,1,2.16,7.37,0,0,1,0,0,0,0,0
25292,2010,1,3.24,7.41,0,0,0,1,0,0,0,0
246784,2018,2,2.21,7.52,0,1,1,0,0,0,0,0
41114,2009,1,1.61,7.28,0,0,0,0,0,0,1,0
143693,2013,1,2.97,7.45,0,0,1,0,0,0,0,0
176920,2015,2,2.2,7.46,0,1,1,0,0,0,0,0
37046,2008,1,2.91,7.32,0,0,1,0,0,0,0,0
5,1964,1,2.5,7.34,0,0,1,0,0,0,0,0
163745,2015,2,3.16,7.85,1,0,0,1,0,0,0,0
39856,2008,1,1.22,7.26,0,0,0,0,0,0,1,0
296151,2020,1,3.5,8.16,0,0,1,0,0,0,0,0
119890,2012,1,2.35,7.38,0,0,1,0,0,0,0,0
70919,2011,1,1.98,7.27,0,1,0,0,0,0,0,0
17392,2006,1,4.17,7.91,1,0,0,0,0,0,0,0
21241,2006,1,2.61,7.4,0,0,1,0,0,0,0,0
129622,2012,1,1.19,7.23,0,1,0,0,0,0,0,0
283355,2019,2,3.89,8.16,0,0,1,1,0,0,0,0
182134,2016,1,2.78,7.62,0,0,1,0,0,0,0,0
2653,1982,1,1.71,7.31,0,1,0,0,0,0,0,0
234487,2017,1,3.33,7.54,0,0,1,0,0,0,0,0
1,1986,1,4.32,7.63,0,0,1,0,0,0,0,0
199042,2016,2,2.08,7.46,0,0,1,1,0,0,0,0
219513,2017,1,1.64,7.36,0,1,0,0,0,0,0,0
25554,2007,1,2.75,7.34,0,0,1,0,0,0,0,0
8217,2004,1,2.29,7.25,0,0,1,0,0,0,0,0
192458,2016,1,2.92,7.66,0,0,1,0,0,0,0,0
39683,2009,1,3.13,7.38,0,0,1,0,0,0,0,0
33160,2009,1,2.91,7.4,0,0,1,0,0,0,0,0
31594,2007,1,3.1,7.35,0,0,1,0,0,0,0,0
